HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP45826,80495.0,4959.0,58.0,78.0,2.428,0.432,0.048,-0.479,0.32,0.2,EPIC
HIP50353,89112.0,4828.0,118.0,99.0,2.824,0.3,0.42,-0.152,0.2,0.36,EPIC
HIP50501,89365.0,,,,,,,,,,EPIC
HIP50543,,4649.0,95.0,95.0,2.572,0.442,0.204,0.09,0.12,0.15,EPIC
HIP50611,89559.0,,,,,,,,,,EPIC
HIP50628,,5646.0,269.0,224.0,3.777,0.155,0.527,-0.312,0.3,0.78,EPIC
HIP50634,89603.0,,,,,,,,,,EPIC
HIP50639,,4925.0,184.0,123.0,2.436,0.558,0.09,-0.62,0.35,0.42,EPIC
HIP50851,89962.0,4747.0,56.0,47.0,3.23,0.138,0.02,0.273,0.06,0.26,EPIC
HIP50939,90125.0,4825.0,77.0,58.0,3.115,0.299,0.138,-0.117,0.12,0.15,EPIC
HIP50958,90155.0,4730.0,57.0,57.0,2.59,0.15,0.18,-0.017,0.15,0.12,EPIC
HIP51034,90305.0,,,,,,,,,,EPIC
HIP51204,90572.0,4777.0,95.0,76.0,2.723,0.15,0.25,-0.122,0.16,0.32,EPIC
HIP51344,,4916.0,249.0,155.0,2.464,0.608,0.096,-0.483,0.4,0.48,EPIC
HIP51351,,4717.0,139.0,111.0,2.464,0.242,0.132,-0.133,0.2,0.32,EPIC
HIP51436,90983.0,,,,,,,,,,EPIC
HIP51451,91011.0,4889.0,58.0,78.0,2.79,0.1,0.38,-0.101,0.1,0.3,EPIC
HIP51520,91117.0,,,,,,,,,,EPIC
HIP51775,91612.0,,,,,,,,,,EPIC
HIP52060,92128.0,4719.0,112.0,112.0,2.5,0.23,0.115,-0.061,0.16,0.24,EPIC
HIP52122,92212.0,6153.0,182.0,182.0,3.871,0.15,0.125,0.033,0.12,0.12,EPIC
HIP52238,92413.0,4853.0,149.0,119.0,2.47,0.32,0.1,-0.238,0.25,0.4,EPIC
HIP52360,92670.0,5152.0,158.0,126.0,3.705,0.095,0.133,-0.187,0.25,0.3,EPIC
HIP52371,92685.0,,,,,,,,,,EPIC
HIP52377,92706.0,4769.0,94.0,94.0,2.552,0.192,0.16,-0.025,0.15,0.24,EPIC
